German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
ab,from / starting,<b>Ab</b> morgen muss ich wieder arbeiten.,Starting tomorrow I have to work again.,,https://youglish.com/pronounce/ab/german
aber,but / however,"Heute kann ich nicht kommen, <b>aber</b> morgen habe ich Zeit.","I cannot come today, but tomorrow I have time.",,https://youglish.com/pronounce/aber/german
"abgeben | gibt ab, gab ab, hat abgegeben",to hand in / submit,Ich muss meinen Schlüssel an der Rezeption <b>abgeben</b>.,I have to hand in my key at reception.,,https://youglish.com/pronounce/abgeben/german
abholen,to pick up / collect,Wann kann ich die Sachen bei dir <b>abholen</b>?,When can I pick up the things from your place?,,https://youglish.com/pronounce/abholen/german
"abschließen | schließt ab, schloss ab, hat abgeschlossen",to lock / complete,Hast du die Tür <b>abgeschlossen</b>?,Did you lock the door?,,https://youglish.com/pronounce/abschließen/german
die Achtung (kein Pl.),attention / caution,<b>Achtung</b> an Gleis drei: Die Türen schließen.,Attention on platform three: The doors are closing.,,https://youglish.com/pronounce/Achtung/german
"die Adresse, -n",address,Können Sie mir Ihre <b>Adresse</b> geben?,Could you give me your address?,,https://youglish.com/pronounce/Adresse/german
"die Ahnung, -en",clue / idea,"Ich hatte keine <b>Ahnung</b>, dass du heute Geburtstag hast.",I had no idea that today is your birthday.,,https://youglish.com/pronounce/Ahnung/german
aktiv,active,Peter ist sehr <b>aktiv</b> und macht viel Sport.,Peter is very active and does a lot of sports.,,https://youglish.com/pronounce/aktiv/german
aktuell,current / up-to-date,Das ist das <b>aktuelle</b> Kinoprogramm.,That is the current cinema program.,,https://youglish.com/pronounce/aktuell/german
all-,all / everything,Ich wünsche dir <b>alles</b> Gute!,I wish you all the best!,,https://youglish.com/pronounce/all/german
allein,alone,"Kommt seine Freundin mit? Nein, er kommt <b>allein</b>.","Is his girlfriend coming along? No, he is coming alone.",,https://youglish.com/pronounce/allein/german
als,than / as,Hector ist jünger <b>als</b> seine Schwester.,Hector is younger than his sister.,,https://youglish.com/pronounce/als/german
also,so / therefore,"Er hat Zeit, <b>also</b> kann er uns helfen.","He has time, so he can help us.",,https://youglish.com/pronounce/also/german
"alt (älter, am ältesten)",old,Wie <b>alt</b> sind Sie?,How old are you?,,https://youglish.com/pronounce/alt/german
das Alter (kein Pl.),age,<b>Alter</b>: 18 Jahre.,Age: 18 years.,,https://youglish.com/pronounce/Alter/german
"die Ampel, -n",traffic light,"Du kannst fahren, die <b>Ampel</b> ist grün.","You can go, the traffic light is green.",,https://youglish.com/pronounce/Ampel/german
an (+ Dat./Akk.),at / on,Fahren Sie an der nächsten Kreuzung nach rechts.,Turn right <b>at</b> the next intersection.,,https://youglish.com/pronounce/an/german
"anbieten | bietet an, bot an, hat angeboten",to offer,Darf ich Ihnen/dir ein Stück Kuchen <b>anbieten</b>?,May I offer you a piece of cake?,,https://youglish.com/pronounce/anbieten/german
"das Angebot, -e",offer / sale,Heute sind Bananen im <b>Angebot</b>.,Today bananas are on special offer.,,https://youglish.com/pronounce/Angebot/german
